timeindex,flag,currentBack,motorTempBack,positionBack,refPositionBack,refVelocityBack,trackingDeviationBack,velocityBack,currentFront,motorTempFront,positionFront,refPositionFront,refVelocityFront,trackingDeviationFront,velocityFront
894,0,8,45,581.4999377,579.4999976,10,5.00E+00,5.989618574,132.5,48,972.4990764,969.4999976,5,6.000913565,9
895,0,-21,47,578.4999585,578.4999984,9,6.00E+00,8.958474295,157,48,973.4993671,972.4999984,7,6.000664411,8
896,1,25,43,580.4996678,578.4999984,5,5.00029068,5,91,45,973.4993256,973.4999984,10,8.000664411,5
897,1,78,43,580.4990864,578.4999968,5,9.00087204,5.979237148,66,45,969.4993671,972.4999968,6,5.000622886,10
898,0,-27.5,33,579.5003737,581.4999976,7,6.992629187,6.989618574,5,34,969.500073,973.4999976,9,8.991030448,7
899,1,674.5,43,101.7736561,111.3948127,584.6550729,7.00E+00,585.2280557,925.5,46,505.5392083,515.3041656,592.8073484,7.998608889,588.3702447
900,1,92,42,578.4999169,577.4999976,7,6.00E+00,5.020762852,96.5,46,972.4993671,970.4999976,8,7.000664411,7.010381426
901,1,4.5,45,577.5008305,578.4999968,10,8.990345274,10,685.5,47,969.5068832,968.4999968,10,5.992982156,8.020762852
902,1,21,47,576.4996678,577.4999984,9,7.000332206,9,116,43,971.4993256,973.4999984,10,9.000705937,6
903,1,-76,46,576.4997508,578.4999992,5,5.000249154,9,-16.5,42,969.4991179,973.4999992,7,8.000913565,5.979237148
904,1,21,43,577.4991695,576.4999992,8,8.000830514,9.979237148,60,47,969.4990764,970.4999992,5,8.000955091,8
905,1,175,42,576.4990034,579.4999984,9,5.000996617,7.010381426,-14,43,968.4994501,969.4999984,8,6.00058136,5
906,1,33,42,577.4990034,578.4999984,5,7.000996617,6,36,47,969.4993256,972.4999984,5,8.000664411,5
907,1,-61,46,576.4994186,577.4999992,9,5.00058136,8.979237148,-33,45,971.5038103,968.4999992,8,8.996179635,5.979237148
908,1,209,40,580.5001246,577.4999984,9,6.999875423,9.020762852,60.5,46,972.4995332,972.4999984,5,7.00043602,10
909,0,119,34,576.5005814,577.4999984,7,9.986213466,9.062288557,237.5,34,968.5000315,968.4999984,7,6.990698242,10.04152571
910,0,-20,35,580.4998754,580.4999992,7,9.00E+00,6.989618574,8,38,970.500073,972.4999992,6,6.00E+00,10
911,0,-36,34,581.4998754,577.4999992,5,1.00E+01,6.989618574,11.5,38,969.4994086,968.4999992,8,7.000622886,5.989618574
912,0,-36,34,578.4998339,580.4999984,9,8.000124577,9.020762852,-8.5,35,972.4994086,969.4999984,6,9.000622886,7
913,0,-33,39,576.4997093,581.4999968,7,5.000249154,9.020762852,1,37,969.499284,969.4999968,6,10.00070594,7
914,0,3.5,39,576.500436,577.4999992,6,6.988746534,9,11,39,971.4999069,968.4999992,7,6.990615191,5
915,0,592,41,374.0596159,379.8458563,589.3978204,9,594.1353193,547,38,769.9130396,772.7266704,593.2294355,8.99366733,588.30119
916,0,-24,39,580.4998754,577.4999992,5,6.000124577,8.979237148,8,42,968.499201,969.4999992,6,10.00083051,6
917,1,152.5,42,6.999169486,9.00E+00,7,7.00087204,10,48,45,399.9995747,400,5,8.000415257,8
918,1,10,41,5.999190249,8.00E+00,5,5.000851277,7,42,44,400.9989518,397,7,8.001038143,9
919,0,10,40,581.4997093,580.4999968,5,6.000249154,6,34,42,968.4996993,970.4999968,10,8.00029068,7
920,0,-8,42,580.4999585,576.4999992,7,8,7,93,45,970.4996578,970.4999992,6,5.000332206,5
921,0,-12,40,578.4999169,576.4999976,10,1.00E+01,5,4,41,972.4996578,971.4999976,10,10.00033221,6
922,0,-18,43,580.4996678,579.4999968,8,8.00029068,7.010381426,3,43,971.4991595,972.4999968,9,6.00087204,8
923,0,54,40,579.4997093,579.4999968,9,8.000249154,10,157,46,970.4996162,968.4999968,10,10.00037373,7
924,0,38,45,579.5,579.4999976,6,10,10,140,45,969.4996993,971.4999976,10,8.000332206,8
925,0,281,42,479.2600002,482.2828912,580.4699328,9.982434627,578.0890176,391,45,856.3751624,861.4887554,577.5095231,7.978551974,575.3763144
926,0,229.5,47,499.3373474,502.0132773,561.0858292,8.983514295,566.9188352,292,46,884.2907978,885.102188,553.0890197,4.979797745,560.4649713
927,0,8,43,7.999460166,9.00E+00,5,6.000498308,8.979237148,27,45,401.9994501,402,10,10.00058136,7
928,0,5,42,578.4999585,580.4999976,10,8,7,120,46,968.4997408,968.4999976,5,7.00029068,9.020762852
929,0,-21,43,576.4999169,578.4999976,9,6.00E+00,10,53,43,970.4991179,968.4999976,8,9.00087204,6
930,0,-3,43,6.02663874,8.170019493,26.52399228,8.00E+00,14.0038474,112,43,400.9998654,401.0297567,13.79942859,6.000207629,10.06228856
931,0,-17,43,1.00E+01,1.00E+01,10,6,9,196,45,396.9994917,400,8,9.000539834,6
932,0,246,43,556.0169844,554.7580664,330.9882274,4.990116882,352.067991,456.5,40,940.0434408,945.041899,309.5903178,7.986296518,326.4468634
933,0,-20,46,580.4995847,577.4999992,7,6.000373731,8,13,47,971.4995955,973.4999992,5,8.00043602,9
934,0,-35,46,578.4996886,579.4999992,10,8.000269917,7,8,45,973.4992425,969.4999992,7,6.000747463,6.979237148
935,0,517,45,349.8890787,355.6865735,591.5750001,4.99584743,587.9861319,738.5,49,741.6876263,744.5099741,588.4306739,8.991134262,594.9484536
936,0,-16,46,578.4999585,577.4999968,5,8.00E+00,5,65,49,970.4997408,969.4999968,6,7.000249154,9
937,0,-28,44,576.4997093,577.4999992,5,7.00029068,5,-4.5,45,969.4990764,972.4999992,5,9.000913565,5
938,0,-24,47,580.4996263,578.4999976,6,7.000373731,8.979237148,-1,46,969.4998654,968.4999976,5,10.00012458,6
939,0,42,47,576.4997508,576.4999976,8,10.00024915,5,162,48,970.4993671,972.4999976,7,7.000622886,6
940,1,471,39,573.3808137,575.6957466,158.3725882,7.98660796,179.5945925,381.5,40,961.7740691,964.3743968,137.3133087,5.982185473,155.6791698
941,1,556.5,37,500.3343367,505.0132798,564.0844099,4.980316816,570.8461652,484,43,874.2979106,883.2087915,567.9820159,9.97757612,577.6737606
942,1,47.5,36,8.999584743,9.00E+00,10,5.000415257,9.989618574,222,41,397.9987857,401,6,10.00124577,8
943,1,79,39,578.4995847,576.4999984,5,8.000415257,6,72.5,41,970.4993671,969.4999984,7,10.00062289,6.989618574
944,1,79,42,577.5000208,581.4999984,10,6.00E+00,8.020762852,165,41,972.5014226,971.4999984,9,5.9985466,9.010381426
945,1,65,42,9.000124577,1.00E+01,8,6.00E+00,6.020762852,183,43,397.9994917,399,5,9.000560597,7.020762852
946,1,-11,42,580.4994602,576.4999976,7,10.00053983,5.979237148,19,41,973.4994501,972.4999976,8,10.00058136,8
947,1,-20.5,45,10.02190481,5.00E+00,8,4.994352504,5,77,41,398.0171193,400,8,7.98689864,9.979237148
948,1,131,41,9.999750846,8.00E+00,9,6.000249154,7,159.5,43,399.9996578,398,5,10.00037373,6
949,1,-24,40,577.4986712,579.4999968,9,9.001287297,7,-49.5,40,971.5064887,969.4999968,8,8.993501227,5.989618574
950,1,136,42,581.4997508,576.4999992,10,9.000207629,9,151,44,971.4996578,971.4999992,10,6.000373731,10
951,1,78,39,579.4991695,576.4999976,9,7.000788988,7,47,40,973.4994501,968.4999976,6,9.00058136,10
952,1,18.5,42,580.4987127,580.4999968,10,8.001245771,7.989618574,12,41,969.4993256,972.4999968,6,8.000705937,7
953,1,19,43,576.4997508,580.4999984,5,10.00020763,6,152,44,970.4994917,969.4999984,8,5.000539834,10
954,1,-39,42,577.4994186,579.4999984,9,9.000539834,9,8,46,968.499201,968.4999984,9,6.000788988,8
955,1,51,43,9.999460166,5.00E+00,7,5.000539834,5,85,44,400.999284,397,6,6.000705937,7
956,1,145,41,577.4995017,576.4999992,10,7.000456783,4.989618574,138,39,973.4996162,968.4999992,7,10.00041526,7
957,1,116,40,577.4998339,578.4999976,8,5.000166103,10.02076285,362,43,971.4991179,970.4999976,7,6.000913565,8
958,1,22,39,7.999501692,7.00E+00,8,5.000498308,6.979237148,34,42,400.9994501,402,10,8.00058136,10
959,1,177.5,42,579.4991902,581.4999992,7,9.000809751,8,89,39,968.4994917,973.4999992,6,8.000498308,8
960,1,-55.5,38,579.4995432,580.4999992,5,10.00045678,7,-38,42,968.499201,971.4999992,6,5.000788988,8.979237148
961,1,715,39,381.9435395,388.7702931,587.0458363,7.00E+00,588.4325333,926,39,763.1041944,763.8696545,597.1174417,10.00033221,593.3878566
962,1,-3,44,580.4997508,580.4999968,10,8.000207629,9,166,47,973.4993256,969.4999968,7,9.000664411,6
963,1,-18,42,9.999833897,1.00E+01,9,9.000166103,8,162,47,398.9994501,398,9,10.00053983,8
964,0,-41,31,577.4999585,576.4999992,9,5,6.020762852,57,31,972.4997823,973.4999992,8,5.000207629,6
965,0,-33,33,579.4993356,578.4999968,9,6.000664411,6,29,33,973.4993256,968.4999968,5,5.000664411,7
966,0,-42,33,580.5,580.4999992,8,8,9.020762852,65,34,969.4996162,969.4999992,9,9.000373731,9.979237148
967,0,52.5,31,581.5002907,578.4999984,9,5.987895257,5.031144278,77,35,972.4998654,969.4999984,7,4.98878806,6.010381426
968,0,-6.5,32,581.5,580.4999976,7,5,9.020762852,114,32,972.4997823,968.4999976,8,6.000207629,5
969,0,-20.5,37,580.4995017,580.4999992,6,7.000498308,5.010381426,40,37,969.4991179,968.4999992,8,6.000913565,6
970,0,-33,32,1.00E+01,6.00E+00,8,7.00E+00,7,12,37,401.0000315,401,6,6,6.020762852
971,0,-48,35,578.4998339,577.4999968,9,9.000124577,9.979237148,3,34,970.4998654,970.4999968,10,5.000166103,9.979237148
972,1,145,44,580.4997716,577.4999968,10,5.000124577,8.051907131,178,41,972.4997201,968.4999968,7,7.000249154,10.05190713
973,1,13,42,7.999252537,9.00E+00,10,9.000747463,8,43,41,397.9993256,400,9,10.00070594,5
974,1,48,43,579.4997508,578.4999976,6,6.000207629,8.020762852,140,41,970.4994294,972.4999976,10,10.00049831,10.02076285
975,1,217,41,579.5000415,576.4999992,6,6.00E+00,10,57.5,44,968.4995332,968.4999992,6,9.000456783,6
976,0,61,45,579.4999585,580.4999984,9,5.00E+00,5,134,45,969.4995332,973.4999984,7,7.000456783,5
977,0,1,41,576.5,579.4999992,8,8,7,86,45,971.4997616,968.4999992,7,7.000269917,5
978,0,-11,41,581.4998754,580.4999976,7,8.000124577,9.989618574,8,41,971.5042879,972.4999976,8,9.995743615,6.989618574
979,0,-6,44,580.4999585,581.4999976,7,8.00E+00,4.979237148,37,44,971.4991595,973.4999976,10,7.00087204,7
980,0,-37,39,579.4998754,579.4999992,10,8.00E+00,10,14,34,972.499284,968.4999992,7,8.000747463,7
981,1,116,47,580.4992941,578.4999992,7,5.000705937,9,67,46,972.4995747,969.4999992,5,7.000456783,8
982,1,147,42,581.498339,578.4999968,10,8.001661028,6,-47.5,42,969.4993671,969.4999968,5,10.00062289,6
983,0,-3,43,577.5000415,578.4999968,8,1.00E+01,7.041525705,165,42,971.4991595,972.4999968,8,5.000830514,7
984,0,-14,41,576.4999169,581.4999968,10,1.00E+01,7,139,40,969.4999692,969.4999968,5,9.00E+00,5
985,0,13,44,581.5,576.4999984,9,10,7.010381426,132.5,43,970.4995955,969.4999984,9,6.000394494,5
986,0,-10,44,580.4999169,581.4999968,9,1.00E+01,8.020762852,32,43,971.4995747,971.4999968,10,8.000415257,4.979237148
987,0,-8,43,578.4999585,576.4999968,9,7.00E+00,10,80,45,968.4996993,969.4999968,10,7.00029068,8
988,0,-13,46,576.5000415,576.4999984,10,6.00E+00,5.020762852,96,44,972.4997823,971.4999984,9,10.00024915,10
989,0,59,47,580.4999585,580.4999976,6,9.00E+00,9.020762852,138,46,968.4996578,969.4999976,7,10.00033221,6.020762852
990,0,-22,43,576.4999585,578.4999992,6,5,9.020762852,96,46,968.4997823,971.4999992,8,5.000249154,7
991,0,5,44,581.4999169,579.4999992,6,5.00E+00,6,76,49,969.4996578,972.4999992,5,5.000332206,7
992,0,-8,43,7.00E+00,1.00E+01,9,7,7,153,46,398.999201,399,5,9.000788988,9
993,0,558,42,411.0550712,415.0936371,586.0447414,8.989867728,589.5085863,511,49,788.624317,792.5530714,594.1174417,6.984760066,598.0662646
994,0,-21,47,578.5002492,577.4999968,9,7.996345738,5.979237148,-8,47,969.501568,970.4999968,6,9.98791602,9
995,0,290,47,469.9296337,474.0147059,577.1547825,5.985694395,579.9509081,598,48,855.3642411,861.4887541,574.5080227,5.979174859,577.4627489
996,0,-16,37,577.4999169,576.4999968,10,6.00E+00,9,101,40,970.5000315,968.4999968,10,5.00E+00,10
997,0,39,41,578.4998754,579.4999984,5,6.00E+00,8.020762852,165,38,973.4996162,968.4999984,6,6.000332206,9.020762852
998,0,199,38,376.0603218,380.8458538,565.4017216,8.00E+00,475.9256352,284.5,40,766.9027205,773.72667,496.4517129,8.000166103,454.7680566
999,0,448.5,41,483.3946976,490.3084992,577.3191122,8.982974461,577.050875,444.5,41,867.0410239,873.0286207,571.4475469,4.978551974,573.050875
1000,0,-18,43,580.4999585,576.4999984,9,6,6.020762852,130,39,973.4994086,971.4999984,9,8.000622886,5
1001,0,-21,39,580.4999169,578.4999992,8,9.00E+00,10.02076285,28,39,973.4996578,970.4999992,7,9.000373731,9
1002,0,19.5,42,6.00E+00,7.00E+00,6,8.00E+00,6,193,38,396.9993671,398,9,7.000664411,5
1003,0,-17,42,581.5003322,579.4999968,7,9.996823284,5.989618574,2,45,971.4999069,970.4999968,6,7.99796524,8
1004,0,-24,40,576.4998754,577.4999968,9,9.00E+00,5,52,47,970.4996993,972.4999968,5,9.00029068,5
1005,0,3,45,579.5000415,578.4999984,8,6.00E+00,8.020762852,148,42,971.4997408,968.4999984,7,10.00020763,9.020762852
1006,0,34,43,577.4997093,580.4999992,8,6.00029068,6,140,47,972.4993256,970.4999992,9,10.00066441,6
1007,0,40,46,576.4998754,578.4999976,6,10.00012458,5.010381426,135,44,969.4992425,968.4999976,5,5.000788988,8
1008,0,-24,42,576.4995432,576.4999992,10,9.000456783,8.979237148,-4,47,973.4996162,970.4999992,10,10.00041526,9
1009,0,64,43,581.4996886,579.4999968,8,10.00031144,10,151,46,968.4994086,969.4999968,7,8.000622886,6
1010,0,-24,43,580.4999169,580.4999968,7,8.00E+00,6,112,47,968.499201,969.4999968,9,5.000830514,6
1011,0,-38,33,581.4998547,576.4999968,7,6,6.062288557,89.5,33,868.3025905,865.6848256,10.3989438,5.00E+00,7.062288557
1012,0,-41,37,1.00E+01,1.00E+01,10,5,10.02076285,101,33,400.9997823,397,9,10.00020763,9
1013,0,-37.5,35,579.4999792,579.4999976,7,8.00E+00,6.979237148,12,35,968.49999,968.4999976,7,9.00E+00,5.979237148
1014,0,-41,37,576.4999585,580.4999992,9,6.00E+00,7.958474295,92,32,971.4999484,972.4999992,7,8.00E+00,8
1015,0,-32,34,9.00E+00,6.00E+00,9,6.00E+00,7,78,37,397.9997823,401,10,10.00024915,5
1016,0,-24,38,581.4994602,576.4999976,10,10.00049831,4.979237148,28,36,972.4990764,971.4999976,9,9.000913565,8
1017,0,-27,40,578.4998754,579.4999984,10,10,8.062288557,174,40,968.4994917,972.4999984,7,5.000415257,9.041525705
1018,1,824.5,41,385.9489379,389.7702928,583.0438087,6.995286833,588.2905764,783,41,758.0720535,766.8696553,596.1185772,9.000332206,595.9069279
1019,1,56,41,581.4999792,578.4999968,8,1.00E+01,8.041525705,163,47,971.4994294,972.4999968,8,7.000498308,9.051907131
1020,1,69.5,45,7.99898262,5.00E+00,6,5.001058905,9,52,45,400.9993256,399,9,10.00066441,7.020762852
1021,0,43,41,581.4998339,579.4999992,7,10.0001661,8,207,47,970.4994501,972.4999992,5,6.000539834,5
1022,0,7,40,577.4998339,577.4999992,6,6.000166103,6,70,43,969.4994917,968.4999992,6,9.000498308,5
1023,0,11.5,47,581.5002492,579.4999992,10,6.991134262,7.010381426,31,45,969.500073,970.4999992,10,8.98791602,6
1024,0,-22,42,6.000830514,9.00E+00,7,9.999169486,6.979237148,2.5,43,397.0003637,398,7,8.999667794,7
1025,0,-4,46,579.4993771,580.4999968,7,5.000622886,5,30,44,971.4990349,973.4999968,9,9.000996617,8
1026,0,-4,42,576.4994602,579.4999992,5,7.000498308,7.020762852,27,43,971.4988688,972.4999992,7,9.001121194,6
1027,0,32,41,578.5000415,579.4999992,6,5.00E+00,10,196,41,973.4994086,968.4999992,10,10.00058136,5
1028,0,32,41,8.00E+00,8.00E+00,7,7.00E+00,6,131,46,400.9997408,399,8,10.00029068,8
1029,0,-11,41,578.5000415,581.4999992,5,6.00E+00,9,184,43,968.4994501,972.4999992,6,6.00058136,8
1030,0,23,43,1.00E+01,6.00E+00,6,9.00E+00,9,141,45,400.9995747,398,6,8.000456783,10
1031,0,55,44,577.4998754,581.4999976,9,9.000124577,10,186,42,972.4995747,973.4999976,8,7.000456783,8
1032,1,446,46,574.4095105,574.4833546,129.4938533,5.988746534,149.1149575,421.5,43,964.7707678,966.3743968,132.3133087,5.984324047,151.7414583
1033,1,42.5,44,580.5009966,577.4999984,8,5.98936942,4.979237148,110,45,971.5019002,973.4999984,9,9.986338043,7.979237148
1034,1,241,40,581.4995432,578.4999968,10,5.000415257,8,106.5,45,972.4996162,969.4999968,7,10.00041526,10
1035,1,47,45,580.4995847,576.4999968,8,9.000415257,5,29,42,968.4992217,970.4999968,7,8.000768226,6
1036,1,548,42,506.1427667,511.6924581,549.003448,8.984760066,559.3300127,474,47,882.288327,886.102188,553.0890197,4.979278673,559.3092499
1037,1,-53,46,6.999750846,1.00E+01,10,5.00029068,10,42,46,398.9990764,399,9,5.000913565,6
1038,1,52,39,578.4995432,577.4999992,10,8.000415257,4.979237148,148,41,973.4991179,968.4999992,5,7.00087204,6
1039,1,128,39,581.4993356,579.4999984,9,6.000622886,8,166,40,970.4993256,968.4999984,9,8.000664411,9
1040,1,-8,36,578.4998962,579.4999976,5,6.988601194,6.020762852,273.5,39,973.5042464,972.4999976,5,7.980379105,6.020762852
1041,1,37.5,40,577.499211,577.4999968,6,10.00078899,9,48,43,968.4994501,968.4999968,9,9.000539834,7
1042,1,86,42,7.999750846,5.00E+00,8,9.00029068,10.01038143,199,43,399.9993256,400,10,9.000664411,6
1043,0,61,43,375.0567921,383.8458538,152.8259808,7.00E+00,99.9412929,100.5,40,768.9145553,772.72667,146.6136361,5.000166103,98.78580366
1044,0,0,40,579.4998754,581.4999976,5,8.00E+00,5,39,43,972.4994086,968.4999976,9,7.00058136,8
1045,0,34,42,576.5,578.4999976,10,7.00E+00,10,174.5,42,968.4994086,972.4999976,6,5.00058136,9
1046,0,-16,41,577.5000415,577.4999992,8,5.00E+00,8.020762852,128,43,970.4999069,969.4999992,8,9.00E+00,6
1047,0,54,41,576.4997093,581.4999992,9,7.00029068,10,162,43,971.4994501,972.4999992,7,10.00053983,5
1048,0,83,42,6.270312827,10.47904411,149.8259808,1.00E+01,98.68875558,232.5,41,403.4177398,399.5985443,148.6144471,10.00041526,103.0071967
1049,0,-25,45,578.4995225,577.4999976,8,10.00043602,5.979237148,-30,45,968.4996785,973.4999976,10,9.000352968,7.989618574
1050,0,56,45,578.4997508,579.4999984,6,5.000207629,10,210,47,970.499554,968.4999984,8,9.000477546,5
1051,0,-24,43,578.4994602,578.4999992,7,8.000498308,5,-12.5,46,972.4993671,971.4999992,6,10.00062289,7
1052,0,-24,44,580.4998754,577.4999976,8,5.00E+00,10.02076285,22,46,971.4989934,970.4999976,9,7.000996617,8.979237148
1053,0,-29,47,576.4998754,576.4999992,9,7.000124577,9.979237148,-13,49,970.4989103,970.4999992,6,7.001079668,8
1054,0,-34,45,578.4995847,579.4999984,8,8.000415257,5,10,45,968.4991595,969.4999984,10,8.000830514,9.979237148
1055,0,23,47,579.4997301,576.4999992,5,5.000269917,6,47,48,970.4998239,971.4999992,10,5.000207629,9
1056,1,110,37,580.4995017,576.4999968,7,10.00049831,10,82.5,42,969.4995747,972.4999968,5,10.00045678,5
1057,1,366.5,41,577.734183,580.077594,42.65146274,5.986213466,63.88659995,458,40,967.693143,971.5639624,46.78870437,6.983265141,70.03940255
1058,1,-8,41,4.999294063,1.00E+01,8,10.00070594,10.02076285,4,43,397.9994501,399,7,8.00058136,7
1059,1,246,39,581.5006229,578.4999992,8,8.986545672,5,526.5,40,972.5152299,970.4999992,7,9.983929552,7.020762852
1060,1,109,38,577.4997508,579.4999968,8,5.000249154,7.020762852,357,41,969.4990764,973.4999968,6,6.00087204,9
1061,1,62,43,581.4996678,580.4999984,7,6.000332206,5,139,39,969.4994501,973.4999984,8,6.000539834,7
1062,0,-19,40,581.4999585,579.4999976,8,1.00E+01,9.979237148,58,36,969.4998239,972.4999976,9,9.000166103,6
1063,0,-23,40,577.5,576.4999976,5,9,6.041525705,110,41,968.4996993,968.4999976,10,6.00029068,7
1064,0,653,39,379.0648066,380.8458538,587.4789486,4.995805904,592.1145564,626.5,36,766.88937,772.72667,592.8073484,8.000124577,589.3704769
1065,0,607,40,377.0746482,381.8458563,588.4767587,10,593.0624172,629,42,766.8955365,774.7266704,593.805929,9.00E+00,590.0452696
1066,0,-7.5,40,581.500353,581.4999968,6,6.99294063,9,5,43,970.5000107,968.4999968,5,4.993729619,5
1067,0,-33,40,576.4998754,580.4999992,9,8.000124577,10.02076285,9,41,973.4996578,970.4999992,9,9.000332206,9
1068,0,-22,37,1.00E+01,8.00E+00,9,9.00E+00,5,64,40,396.9996162,399,10,6.000373731,10
1069,0,-6,43,578.4999585,577.4999984,8,8,9.020762852,167,45,969.4993671,971.4999984,7,8.000664411,6
1070,0,-1,43,8.00E+00,7.00E+00,9,5.00E+00,6,84,43,400.9997823,398,7,6.000207629,6
1071,0,25,40,579.4997301,577.4999992,10,5.000228391,8,105,43,971.4994501,971.4999992,7,9.00058136,10
1072,0,-3,41,581.4994602,578.4999968,6,10.00049831,7,23,43,972.4996578,972.4999968,9,6.000373731,5
1073,0,54.5,38,9.999833897,7.00E+00,8,5.000166103,8.020762852,227,40,396.99999,402,9,9.00E+00,8.020762852
1074,0,2,39,581.4999585,580.4999984,10,9,7,102,42,973.4996162,972.4999984,8,6.000415257,5
1075,0,-6,42,9.00E+00,1.00E+01,10,5.00E+00,6,186,43,401.9993671,402,6,9.000664411,5
1076,0,145,41,578.9088596,575.5433711,77.60089271,6.989826202,96.84762791,337.5,40,965.6549576,965.8105019,83.42176746,5.98303675,100.6612266
1077,0,-8,42,578.4999585,577.4999992,6,9,10,70.5,43,973.4997408,968.4999992,6,10.00024915,6.020762852
1078,0,-13,36,581.5002699,576.4999992,9,8.989618574,8.979237148,10,35,968.4999069,972.4999992,6,4.989701625,8
1079,0,420.5,39,381.9439133,388.7702911,574.3191122,8,576.6529977,468,39,768.9185418,770.7266701,581.2828066,10,578.3381718
1080,0,-22,35,578.5,580.4999976,9,8,8,65,32,970.4996993,968.4999976,6,10.00033221,7
1081,0,-29,39,578.4999585,580.4999992,8,10,6,87,37,969.4997823,971.4999992,7,8.000207629,9
1082,0,-18,35,578.4999585,579.4999968,5,6,5,96,40,972.4996993,973.4999968,8,5.00029068,10
1083,0,16,42,581.5,579.4999984,7,9.00E+00,10,79,47,973.4993879,969.4999984,6,9.000602123,7
1084,0,48,45,580.4999585,578.4999976,5,5.00E+00,5,103,45,970.4995332,969.4999976,8,6.000456783,7.010381426
1085,0,1,43,578.5000208,578.4999976,8,9.00E+00,10,62,42,972.4999484,970.4999976,9,1.00E+01,10
1086,0,-17,45,576.4998962,579.4999976,5,8.000103814,8,62,42,968.4996578,973.4999976,6,7.000373731,5
1087,0,-16,43,576.4997924,578.4999968,8,7.000207629,6,45,44,972.4989518,968.4999968,7,7.001079668,6.979237148
1088,0,-33,44,577.4997301,580.4999968,7,5.000269917,6.979237148,-18,44,969.499201,973.4999968,8,6.000830514,9.979237148
1089,0,-25,42,578.4999169,578.4999984,5,6.00E+00,8,139,48,972.49999,973.4999984,5,5.00E+00,5
1090,0,-28,44,5.999750846,7.00E+00,9,8.000207629,8,-24,44,398.9990764,398,9,5.000955091,5
1091,0,18,42,580.4999585,581.4999984,7,8,8,140,48,973.4991179,969.4999984,10,6.00087204,7
1092,0,49,43,579.5,576.4999992,9,5.00E+00,9,182,46,970.4992425,972.4999992,5,7.000747463,5
1093,0,-19,42,578.4999585,577.4999984,7,7.00E+00,6,81,45,970.4994086,973.4999984,10,9.00058136,9
1094,0,50,43,577.4999169,578.4999968,9,9.991196551,6,177,47,968.5006129,972.4999968,9,7.985071509,10.03114428
1095,0,8,45,6.00E+00,5.00E+00,5,10,5,50,46,399.9996578,399,7,9.000373731,9
1096,1,5,41,8.999211012,5.00E+00,7,10.00078899,6,-14,46,399.9994086,400,5,9.00058136,9
1097,1,2,44,9.999169486,6.00E+00,10,5.000830514,8,852,47,397.0031875,402,7,9.996844046,7
1098,1,59,46,578.4994186,576.4999968,5,8.000539834,6,94,44,973.4993256,971.4999968,5,10.00070594,9.010381426
1099,1,145,47,8.99941864,1.00E+01,7,8.000622886,9,203,43,396.9993671,397,9,6.000664411,8
1100,1,-38.5,43,579.4996678,578.4999976,7,8.000332206,10,-46,45,969.4986612,972.4999976,7,6.001370348,10
1101,1,-65,47,577.4990864,580.4999992,10,5.000913565,5,24,43,971.5054298,968.4999992,8,5.994601658,5
1102,1,6,44,580.4994186,576.4999992,5,9.00058136,5,38,41,969.4994917,969.4999992,6,5.000498308,9
1103,1,-55.5,44,579.4996678,577.4999976,8,10.00033221,7,-7,45,972.4990764,972.4999976,5,9.000913565,6
1104,1,85.5,42,579.4990449,581.4999968,5,8.000955091,6,27,42,973.4994501,971.4999968,10,5.000539834,8
1105,1,70,45,579.5,577.4999984,7,1.00E+01,7,110,44,973.4993671,972.4999984,9,7.000622886,8
1106,1,414.5,44,381.7925093,386.6163441,239.2171443,6.000456783,176.729551,204,47,767.7735743,771.583296,314.5698804,7.000415257,242.3090199
1107,1,34,42,576.4992525,576.4999976,9,8.000705937,10,18,43,973.4994501,969.4999976,8,5.000539834,7
1108,1,347,40,6.033386666,1.00E+01,7,4.989286368,10.02076285,296.5,40,398.0166625,401,6,6.983742687,9.020762852
1109,1,180,45,579.5006852,578.4999968,6,9.990075357,5.989618574,571,41,972.5139011,972.4999968,5,5.985590581,6.020762852
1110,1,11,42,579.4992525,579.4999984,7,9.000747463,8,36,44,970.4994086,972.4999984,6,5.000622886,10
1111,1,-56.5,47,579.500789,576.4999992,6,5.990096119,4.979237148,193,45,969.5118248,968.4999992,10,5.983888027,10
1112,0,272,30,575.7429424,577.5781673,99.64873639,6.989846965,120.5831833,479.5,31,966.9476308,968.0651346,76.61541048,6.981915556,98.59870584
1113,0,-28,31,5.00E+00,5.00E+00,10,10,7,43,33,399.9998654,399,8,7.000124577,9
1114,1,-17,43,579.4996055,581.4999992,5,7.000352968,8,50,44,972.499284,969.4999992,5,5.000705937,9
1115,1,74,38,576.5001869,580.4999992,7,7.986566435,8.010381426,301,40,972.5110358,969.4999992,5,4.985050746,10.02076285
1116,1,134,42,577.4998754,578.4999992,10,7.00E+00,5,161,39,969.4996162,968.4999992,6,8.000373731,7
1117,1,27,39,577.4994186,577.4999976,10,10.00053983,6,127.5,44,970.4986196,972.4999976,10,7.001370348,5
1118,1,32,42,576.4993771,578.4999984,9,6.00058136,9,50,43,971.4995332,972.4999984,7,7.000498308,10
1119,1,9,42,580.4994186,581.4999984,5,10.00053983,7,-5,44,969.4994917,968.4999984,10,9.000539834,10
1120,1,10,45,579.499564,578.4999992,9,9.00043602,6,68,42,973.4994086,969.4999992,9,10.00062289,5
1121,1,-16.5,43,577.4991902,576.4999976,5,8.000809751,7,-15,45,970.4993256,968.4999976,9,6.000705937,5
